,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2015-04-23,218.6,221.48,217.15,-0.38,218.17,219.44,4411184,20150423,3,189,8.102690466590005,7.956435237289797
2015-04-24,218.425,220.8,218.01,-0.08,220.5,218.6,2427843,20150424,4,190,7.849705206276196,7.587404148911957
2015-04-27,231.55,238.75,222.0,6.01,222.63,218.425,11672627,20150427,0,191,8.435433529786854,8.484732423989675
2015-04-28,230.48,235.5,228.03,-0.46,234.75,231.55,6085379,20150428,1,192,8.846841456939861,9.098322965133267
2015-04-29,232.45,234.97,227.63,0.85,230.05,230.48,3936077,20150429,2,193,8.775087101847488,8.97272846762375
2015-04-30,226.05,232.89,225.17,-2.75,230.35,232.45,3911857,20150430,3,194,8.724844858902369,8.883247862793482
2015-05-01,226.03,231.77,220.405,-0.01,229.74,226.05,5281689,20150501,4,195,8.882947484668922,9.109087301165378
2015-05-04,230.51,234.73,227.11,1.98,228.18,226.03,4434596,20150504,0,196,8.873283318732307,9.078438208224993
2015-05-05,232.95,239.5,229.13,1.06,237.76,230.51,5796873,20150505,1,197,9.092174589268863,9.392121193351779
2015-05-06,230.43,234.47,228.2,-1.08,234.07,232.95,5270933,20150506,2,198,8.957785323113203,9.169112536683793
2015-05-07,236.8,237.48,220.25,2.76,221.0,230.43,9455909,20150507,3,199,9.351700307726858,9.744890212634953
2015-05-08,236.61,238.41,233.7,-0.08,235.96,236.8,4668236,20150508,4,200,9.28638124545415,9.618826626018167
2015-05-11,239.49,242.88,235.31,1.22,236.29,236.61,5672262,20150511,0,201,9.204648805194427,9.47248186701687
2015-05-12,244.74,246.35,238.19,2.19,240.1,239.49,6363429,20150512,1,202,9.230141719232787,9.491590305087092
2015-05-13,243.18,248.3,242.25,-0.64,247.61,244.74,5440165,20150513,2,203,9.210134970697894,9.442905283295158
2015-05-14,244.1,244.89,241.25,0.38,244.82,243.18,2895936,20150514,3,204,8.944890448283706,9.028412048774074
2015-05-15,248.84,249.4,242.5,1.94,243.93,244.1,4527563,20150515,4,205,8.84751471265115,8.876382616718784
2015-05-18,248.75,249.9,246.0,-0.04,246.86,248.84,3353212,20150518,0,206,8.702394964429669,8.65664100123887
2015-05-19,247.14,251.0,246.15,-0.65,248.34,248.75,3674231,20150519,1,207,8.51894758517111,8.384738072578951
2015-05-20,244.35,247.74,241.37,-1.13,247.12,247.14,3755569,20150520,2,208,8.464711985877248,8.312971067394741
2015-05-21,245.62,246.62,242.357,0.52,243.17,244.35,1970643,20150521,3,209,8.28939236750214,8.060830276866543
2015-05-22,247.73,248.6,245.01,0.86,245.38,245.62,2223089,20150522,4,210,8.097040350002038,7.788628114233218
2015-05-26,247.455,252.0,246.5,-0.11,247.68,247.73,3498682,20150526,1,211,8.015276523811464,7.688011820359416
2015-05-27,247.43,249.5,245.55,-0.01,248.51,247.455,3408200,20150527,2,212,7.821691927439491,7.421010976048028
2015-05-28,251.45,251.8,245.05,1.62,247.0,247.43,3647283,20150528,3,213,7.7706589785138,7.373081620616027
2015-05-29,250.8,252.868,249.43,-0.26,250.85,251.45,3789283,20150529,4,214,7.659579979536951,7.234861504857738
2015-06-01,249.45,251.6,247.47,-0.54,251.26,250.8,2505057,20150601,0,215,7.491504742416144,7.0130856830821875
2015-06-02,248.35,249.4,246.3,-0.44,248.79,249.45,2134809,20150602,1,216,7.349052135634422,6.83357956286203
2015-06-03,248.99,250.72,247.01,0.26,248.0,248.35,1781505,20150603,2,217,7.175763938699451,6.610466736943313
2015-06-04,245.92,249.3,245.71,-1.23,247.5,248.99,2453615,20150604,3,218,7.0050132749518585,6.394719112875935
2015-06-05,249.14,249.7,245.68,1.31,246.16,245.92,3022026,20150605,4,219,6.862869785668435,6.22509631909908
2015-06-08,256.29,258.75,250.31,2.87,250.77,249.14,5016997,20150608,0,220,7.147018843493749,6.696875153449148
2015-06-09,256.0,257.74,254.14,-0.11,255.5,256.29,2611146,20150609,1,221,7.216208422375,6.832812642488498
2015-06-10,250.7,254.0,248.5,-2.07,251.9,256.0,3454453,20150610,2,222,7.2435318308333345,6.901183168025034
2015-06-11,251.41,254.37,250.43,0.28,253.25,250.7,2044058,20150611,3,223,7.163839838888889,6.806098656023246
2015-06-12,250.69,253.46,250.21,-0.29,250.21,251.41,1422335,20150612,4,224,6.977466513227514,6.552091609164441
